CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 25.425781 1745540121.3628
MEM 25.425781 1745540121.4630
MEM 25.425781 1745540121.5633
MEM 25.425781 1745540121.6636
MEM 25.425781 1745540121.7644
MEM 25.425781 1745540121.8656
MEM 25.425781 1745540121.9658
MEM 25.425781 1745540122.0661
MEM 25.425781 1745540122.1665
MEM 25.425781 1745540122.2672
MEM 25.425781 1745540122.3675
MEM 25.425781 1745540122.4682
MEM 25.425781 1745540122.5692
MEM 25.425781 1745540122.6697
MEM 25.425781 1745540122.7704
MEM 25.425781 1745540122.8711
MEM 25.425781 1745540122.9714
MEM 25.425781 1745540123.0722
MEM 25.425781 1745540123.1724
MEM 25.425781 1745540123.2731
MEM 25.425781 1745540123.3739
MEM 25.425781 1745540123.4746
MEM 25.425781 1745540123.5749
MEM 25.425781 1745540123.6752
MEM 25.425781 1745540123.7754
MEM 25.425781 1745540123.8762
MEM 25.425781 1745540123.9764
MEM 25.425781 1745540124.0767
MEM 25.425781 1745540124.1774
MEM 25.425781 1745540124.2776
MEM 25.425781 1745540124.3778
MEM 25.425781 1745540124.4781
MEM 25.425781 1745540124.5788
MEM 25.425781 1745540124.6796
MEM 25.425781 1745540124.7798
MEM 25.425781 1745540124.8800
MEM 25.425781 1745540124.9808
MEM 25.425781 1745540125.0818
MEM 25.425781 1745540125.1825
MEM 25.425781 1745540125.2828
MEM 25.425781 1745540125.3836
MEM 25.425781 1745540125.4838
MEM 25.425781 1745540125.5847
MEM 25.425781 1745540125.6857
MEM 25.425781 1745540125.7860
MEM 25.425781 1745540125.8862
MEM 25.425781 1745540125.9870
MEM 25.425781 1745540126.0874
MEM 25.425781 1745540126.1877
MEM 25.425781 1745540126.2880
MEM 25.425781 1745540126.3882
MEM 25.425781 1745540126.4884
MEM 25.425781 1745540126.5887
MEM 25.425781 1745540126.6889
MEM 25.425781 1745540126.7898
MEM 25.425781 1745540126.8908
MEM 25.425781 1745540126.9915
MEM 25.425781 1745540127.0924
MEM 25.425781 1745540127.1927
MEM 25.437500 1745540127.2937
MEM 25.437500 1745540127.4010
MEM 25.437500 1745540127.5018
MEM 25.437500 1745540127.6026
MEM 25.437500 1745540127.7033
MEM 25.437500 1745540127.8037
MEM 25.437500 1745540127.9046
MEM 25.437500 1745540128.0057
MEM 25.437500 1745540128.1063
